Old Number,New Number,Description
4056,346-01,I/Bathroom
4057,344,I/ Bathroom
4058,345,CR
4059,,Corr
4060,343,CR
4061,341,CR
4062,339,CR
4063,337,CR
4064,335,CR
4064A,,Stair F-2
4065,336,Men's I
4066,338,Fac
4066A,340,Off
4067,,Corridor
4068,382,Jan
4069,,Corr
4071,,Corr
4072,,Corr
4073,316,Girl's Bathroom
4074,320,E. SI
4074A,318,Book Stor
4075,322,Comp
4076,324-01,WK
4077,324-02,Fac
4078,,Corr
4079,324-03,Off
4081,324-04,WK
4081A,324-05,Stor
4082,326,CR
4083,324-06,Mech
4083,328,CR
4083A,330,Book Stor
4084,332,Men's Bathroom
4085,333,Science CR
4086,331,Lab
4087,329,PPFP
4088,327,Lab
4089,325,Science CR
4090,323,Science CR
4091,324-08,F.I/ Men's
4091A,324-07,F.I/ Women's
4092,321,Lab
4093,319,Prep
4094,327,Lab
4095,315,Lab
3046,,Dummy
4097,,Dummy
1046A,,Dummy
1161,,Dummy
1111,,Dummy
1113,,Dummy
1130,,Dummy
