DeviceObj,Circuit,Location,Debug
Electric Range,MSWB.5-DHB.DHB.2-T2BA.T2BA.L2BAsec2.48,4016,
Clothes Dryer,MSWB.5-DHB.DHB.2-T2BA.T2BA.L2BAsec2.49,4016,
Electric Range,MSWB.5-DHB.DHB.2-T2BA.T2BA.L2BAsec2.50,4016,
Air Condenser,MSWB.5-DHB.DHB.2-T2BA.T2BA.L2BAsec2.51,4016,
Electric Range,MSWB.5-DHB.DHB.2-T2BA.T2BA.L2BAsec2.52,4016,
Air Condenser,MSWB.5-DHB.DHB.2-T2BA.T2BA.L2BAsec2.53,4016,
Electric Range,MSWB.5-DHB.DHB.2-T2BA.T2BA.L2BAsec2.54,4016,
Air Condenser,MSWB.5-DHB.DHB.2-T2BA.T2BA.L2BAsec2.56,369,
Air Condenser,MSWB.5-DHB.DHB.2-T2BA.T2BA.L2BAsec2.58,369,
Handicap door (South),MSWB.5-DHB.DHB.3-T1A.T1A.L1A.1,3007A,
Outlets,MSWB.5-DHB.DHB.3-T1A.T1A.L1A.2,3110,
Outlets,MSWB.5-DHB.DHB.3-T1A.T1A.L1A.2,3007,
Outlets,MSWB.5-DHB.DHB.3-T1A.T1A.L1A.2,3008,
Water Cooler,MSWB.5-DHB.DHB.3-T1A.T1A.L1A.2,3008A,
HandDryer,MSWB.5-DHB.DHB.3-T1A.T1A.L1A.3,3111,
Outlets,MSWB.5-DHB.DHB.3-T1A.T1A.L1A.4,3112,
Outlets,MSWB.5-DHB.DHB.3-T1A.T1A.L1A.5,3112,
Outlets,MSWB.5-DHB.DHB.3-T1A.T1A.L1A.6,3112,
Outlets,MSWB.5-DHB.DHB.3-T1A.T1A.L1A.7,3113,
Outlets,MSWB.5-DHB.DHB.3-T1A.T1A.L1A.8,3113,
Outlets,MSWB.5-DHB.DHB.3-T1A.T1A.L1A.9,3113,
Outlets,MSWB.5-DHB.DHB.3-T1A.T1A.L1A.10,3114,
Outlets,MSWB.5-DHB.DHB.3-T1A.T1A.L1A.11,3114,
Outlets,MSWB.5-DHB.DHB.3-T1A.T1A.L1A.12,3114,
UV,MSWB.5-DHB.DHB.3-T1A.T1A.L1A.13,3011,
UV,MSWB.5-DHB.DHB.3-T1A.T1A.L1A.14,3008,
UV,MSWB.5-DHB.DHB.3-T1A.T1A.L1A.14,3009,
UV,MSWB.5-DHB.DHB.3-T1A.T1A.L1A.14,3010,
UV,MSWB.5-DHB.DHB.3-T1A.T1A.L1A.15,3013,
UV,MSWB.5-DHB.DHB.3-T1A.T1A.L1A.15,3014,
UV,MSWB.5-DHB.DHB.3-T1A.T1A.L1A.15,3020,
UV,MSWB.5-DHB.DHB.3-T1A.T1A.L1A.15,3025,
UV,MSWB.5-DHB.DHB.3-T1A.T1A.L1A.16,3012,
UV,MSWB.5-DHB.DHB.3-T1A.T1A.L1A.16,3024,
UV,MSWB.5-DHB.DHB.3-T1A.T1A.L1A.17,3025,
UV,MSWB.5-DHB.DHB.3-T1A.T1A.L1A.18,3009,
CUH Corr,MSWB.5-DHB.DHB.3-T1A.T1A.L1A.18,3007,
Door,MSWB.5-DHB.DHB.3-T1A.T1A.L1A.18,South End,
UV,MSWB.5-DHB.DHB.3-T1A.T1A.L1A.19,3025,
Double Oven,MSWB.5-DHB.DHB.3-T1A.T1A.L1A.21,3025,
Double Oven,MSWB.5-DHB.DHB.3-T1A.T1A.L1A.23,3025,
Outlets,MSWB.5-DHB.DHB.3-T1A.T1A.L1A.29,3008,
Outlets,MSWB.5-DHB.DHB.3-T1A.T1A.L1A.29,3009,
Outlets,MSWB.5-DHB.DHB.3-T1A.T1A.L1A.30,3008,
Outlets,MSWB.5-DHB.DHB.3-T1A.T1A.L1A.30,3009,
Handicap door (North),MSWB.5-DHB.DHB.4-T1DA.T1DA.L1DA.1,3115,
Outlets,MSWB.5-DHB.DHB.4-T1DA.T1DA.L1DA.2,3115,
Outlets,MSWB.5-DHB.DHB.4-T1DA.T1DA.L1DA.3,3115,
Outlets,MSWB.5-DHB.DHB.4-T1DA.T1DA.L1DA.4,3115,
Outlets,MSWB.5-DHB.DHB.4-T1DA.T1DA.L1DA.5,3116,
Outlets,MSWB.5-DHB.DHB.4-T1DA.T1DA.L1DA.6,3116,
Outlets,MSWB.5-DHB.DHB.4-T1DA.T1DA.L1DA.7,3116,
Outlets,MSWB.5-DHB.DHB.4-T1DA.T1DA.L1DA.8,3117,
Outlets,MSWB.5-DHB.DHB.4-T1DA.T1DA.L1DA.9,3117,
Outlets,MSWB.5-DHB.DHB.4-T1DA.T1DA.L1DA.10,3117,
Hand dryer,MSWB.5-DHB.DHB.4-T1DA.T1DA.L1DA.11,3118,
Outlets Water cooler,MSWB.5-DHB.DHB.4-T1DA.T1DA.L1DA.12,3110,corr 3110
UV,MSWB.5-DHB.DHB.4-T1DA.T1DA.L1DA.13,3029,
UV,MSWB.5-DHB.DHB.4-T1DA.T1DA.L1DA.13,3030,
UV,MSWB.5-DHB.DHB.4-T1DA.T1DA.L1DA.14,3099,
UV,MSWB.5-DHB.DHB.4-T1DA.T1DA.L1DA.14,3100,
UV,MSWB.5-DHB.DHB.4-T1DA.T1DA.L1DA.14,3098,
UV,MSWB.5-DHB.DHB.4-T1DA.T1DA.L1DA.15,3101B,
UV,MSWB.5-DHB.DHB.4-T1DA.T1DA.L1DA.16,3101,
UV,MSWB.5-DHB.DHB.4-T1DA.T1DA.L1DA.17,3117,
CUH corr,MSWB.5-DHB.DHB.4-T1DA.T1DA.L1DA.17,(North),
UV,MSWB.5-DHB.DHB.4-T1DA.T1DA.L1DA.18,3115,
UV,MSWB.5-DHB.DHB.4-T1DA.T1DA.L1DA.18,3116,
UV,MSWB.5-DHB.DHB.4-T1DA.T1DA.L1DA.18,3123,
Washer,MSWB.5-DHB.DHB.5-T2A.T2A.L2A.1,4016,
Outlets,MSWB.5-DHB.DHB.5-T2A.T2A.L2A.2,4008,
Outlets,MSWB.5-DHB.DHB.5-T2A.T2A.L2A.3,4008,
Outlets,MSWB.5-DHB.DHB.5-T2A.T2A.L2A.4,4008,
Outlets,MSWB.5-DHB.DHB.5-T2A.T2A.L2A.5,4007,
Outlets,MSWB.5-DHB.DHB.5-T2A.T2A.L2A.6,4007,
Outlets,MSWB.5-DHB.DHB.5-T2A.T2A.L2A.7,4007,
Outlets,MSWB.5-DHB.DHB.5-T2A.T2A.L2A.8,4006,
Outlets,MSWB.5-DHB.DHB.5-T2A.T2A.L2A.9,4006,
Outlets,MSWB.5-DHB.DHB.5-T2A.T2A.L2A.10,4006,
Outlets,MSWB.5-DHB.DHB.5-T2A.T2A.L2A.11,4005,
